㶔	並二皆去
㶕	見開二山上
㶖	書三東入
㶗	並三C元去
㶘	定開四添上
㶛	以開三魚平
㶟	來合三脂上
㶟	來合三脂平
㶣	定開一談平
㶣	澄開三鹽平
㶧	泥合一魂上
㶳	從開三真去
㶴	昌開三支上
㶼	影開一咍平
㶼	曉開三C之平
㶿	並一魂入
㷄	曉合一灰上
㷄	見合一寒去
㷅	初開二咸入
㷆	並三C尤上
㷇	溪合一灰平
㷉	影合三C微去
㷒	疑合三C虞平
㷓	清一東平
㷓	精一東上
㷟	透合一灰平
㷠	來開三真平
㷤	曉一東入
㷭	滂三C鍾平
㷮	精開一豪平
㷰	來開三支平
㷰	徹開三支平
㷳	疑開一寒去
㷷	精合三支平
㷸	云開三B鹽入
㷹	澄開二肴去
㸃	端開四添上
㸅	精開四先入
㸊	來開一泰去
㸎	孃開三鹽入
㸏	明三B支平
㸒	以開三侵平
㸙	章開三麻平
㸚	來開三支上
㸚	來開四齊去
㸛	常開三宵平
㸡	常合三虞平
㸢	並三B脂去
㸣	疑開三C嚴入
㸤	滂四先去
㸪	船合三真平
㸪	邪合三真平
㸬	幫一泰去
㸰	定合一歌平
㸰	溪合一歌平
㸲	從開一唐入
㸳	來開四青平
㸶	影開二山平
㸸	影一侯上
㸸	曉一侯上
㸸	溪一侯上
㸹	來合一寒入
㸹	來合三仙入
㸼	滂三C鍾平
㹁	來開三陽去
㹁	來開三陽平
㹂	匣開二山上
㹂	匣開四先入
㹂	溪開三A仙上
㹃	幫三C微去
㹄	精開三蒸入
㹉	疑合三C元平
㹊	疑二江入
㹌	生開二山上
㹍	定開四青入
㹏	見開三C殷上
㹒	滂二江入
㹔	見開三C陽平
㹗	昌三尤平
㹗	透開一豪平
㹘	日合三虞去
㹛	日開三宵平
㹜	疑開三C殷平
㹞	疑開三B真平
㹠	定合一魂平
㹤	溪開三C嚴入
㹥	章合三虞去
㹧	影開一唐平
㹭	以開三祭去
㹮	明二庚入
㹯	曉三C尤平
㹱	清三鍾入
㹱	清開三陽入
㹲	曉開二肴平
㹳	疑一模平
㹶	定開四青平
㹺	透開一覃入
㹼	見三C東入
㹽	初開二刪上
㹾	並三B宵上
㺁	泥開一豪上
㺂	疑開二咸平
㺇	心開三之平
㺊	以開三陽去
㺌	匣開二咸上
㺌	匣開四添上
㺎	以三鍾平
㺏	來合三虞平
㺑	生開二咸上
㺑	生開二咸平
㺑	生開二銜上
㺒	匣開二肴上
㺒	孃開二肴上
㺔	曉開一泰去
㺕	並三B仙去
㺕	並三C元平
㺖	初開二銜去
㺖	匣開一談去
㺖	曉開二銜上
㺗	初開二山平
㺛	章合三虞去
㺜	孃三鍾平
㺜	孃開二肴平
㺜	泥一冬平
㺜	泥開一豪平
㺝	匣開二咸上
㺝	匣開二銜上
㺞	以開三魚平
㺟	澄二江入
㺣	曉開三B支平
㺥	崇開二咸平
㺦	來開三仙平
㺧	曉開三B宵平
㺨	心開三脂平
㺪	滂二江入
㺴	幫二山入
㺹	並三B仙去
㺺	明一豪去
㺿	以開三之平
㻀	以合三虞平
㻆	匣合四先上
㻌	透一模平
