㐖毒	匣開四先入 定一冬入
馬面	明二麻上 明三A仙去
馬靴	明二麻上 曉合三C歌平
馬鞭	明二麻上 幫三A仙平
馬頭	明二麻上 定一侯平
馬駒	明二麻上 見合三C虞平
馬騮	明二麻上 來三尤平
馬騾	明二麻上 來合一歌平
馬鹿	明二麻上 來一東入
馬麻	明二麻上 明二麻平
馬龍	明二麻上 來三鍾平
馭手	疑開三C魚去 書三尤上
馳名	澄開三支平 明三A清平
馳騁	澄開三支平 徹開三清上
馴化	邪合三真平 曉合二麻去
馴善	邪合三真平 常開三仙上
馴擾	邪合三真平 日開三宵上
馴服	邪合三真平 並三C東入
馴良	邪合三真平 來開三陽平
馴順	邪合三真平 船合三真去
馴馬	邪合三真平 明二麻上
馴駝	邪合三真平 定開一歌平
馴鹿	邪合三真平 來一東入
駁回	幫二江入 匣合一灰平
駁子	幫二江入 精開三之上
駁岸	幫二江入 疑開一寒去
駁斥	幫二江入 昌開三清入
駁船	幫二江入 船合三仙平
駁落	幫二江入 來開一唐入
駁詞	幫二江入 邪開三之平
駁議	幫二江入 疑開三B支去
駁辭	幫二江入 邪開三之平
駁運	幫二江入 云合三C文去
駁雜	幫二江入 從開一覃入
駐京	知合三虞去 見開三B庚平
駐地	知合三虞去 定開四脂去
駐波	知合三虞去 幫一歌平
駐節	知合三虞去 精開四先入
駐紮	知合三虞去 莊開二山入
駐軍	知合三虞去 見合三C文平
駐顏	知合三虞去 疑開二刪平
駐點	知合三虞去 端開四添上
駒子	見合三C虞平 精開三之上
駕崩	見開二麻去 幫一登平
駕御	見開二麻去 疑開三C魚去
駕照	見開二麻去 章開三宵去
駕艇	見開二麻去 定開四青上
駕轅	見開二麻去 云合三C元平
駕雲	見開二麻去 云合三C文平
駕馭	見開二麻去 疑開三C魚去
駕駛	見開二麻去 生開三之上
駕齡	見開二麻去 來開四青平
駙馬	並三C虞去 明二麻上
駛入	生開三之上 日開三侵入
駛往	生開三之上 云合三C陽上
駛流	生開三之上 來三尤平
駝子	定開一歌平 精開三之上
駝色	定開一歌平 生開三蒸入
駝雞	定開一歌平 見開四齊平
駝鹿	定開一歌平 來一東入
駢儷	並四先平 來開四齊去
駢肩	並四先平 見開四先平
駢體	並四先平 透開四齊上
駭人	匣開二皆上 日開三真平
駭客	匣開二皆上 溪開二庚入
駭然	匣開二皆上 日開三仙平
駱馬	來開一唐入 明二麻上
駱駝	來開一唐入 定開一歌平
駿馬	精合三真去 明二麻上
騏驎	羣開三C之平 來開三真平
騰挪	定開一登平 泥開一歌平
騰沖	定開一登平 澄三東平
騰訊	定開一登平 心開三真去
騰飛	定開一登平 幫三C微平
騰騰	定開一登平 定開一登平
騰驤	定開一登平 心開三陽平
騶虞	莊三尤平 疑合三C虞平
騷亂	心開一豪平 來合一寒去
騷動	心開一豪平 定一東上
騷包	心開一豪平 幫二肴平
騷味	心開一豪平 明三C微去
騷客	心開一豪平 溪開二庚入
騷情	心開一豪平 從開三清平
騷擾	心開一豪平 日開三宵上
騷攪	心開一豪平 見開二肴上
騷然	心開一豪平 日開三仙平
騷瑞	心開一豪平 常合三支去
騷話	心開一豪平 匣合二夬去
騷貨	心開一豪平 曉合一歌去
騷驢	心開一豪平 來開三魚平
騷體	心開一豪平 透開四齊上
騾子	來合一歌平 精開三之上
騾馬	來合一歌平 明二麻上
驀地	明二庚入 定開四脂去
驀然	明二庚入 日開三仙平
驌驦	心三東入 生開三陽平
驕人	見開三B宵平 日開三真平
驕傲	見開三B宵平 疑開一豪去
驕矜	見開三B宵平 見開三C蒸平
驕陽	見開三B宵平 以開三陽平
驗尿	疑開三B鹽去 泥開四蕭去
驗明	疑開三B鹽去 明三B庚平
驗核	疑開三B鹽去 匣開二耕入
驗算	疑開三B鹽去 心合一寒上
驗血	疑開三B鹽去 曉合四先入
驗證	疑開三B鹽去 章開三蒸去
驗貨	疑開三B鹽去 曉合一歌去
驗資	疑開三B鹽去 精開三脂平
驗關	疑開三B鹽去 見合二刪平
驚人	見開三B庚平 日開三真平
驚動	見開三B庚平 定一東上
驚叫	見開三B庚平 見開四蕭去
驚呼	見開三B庚平 曉一模平
驚喜	見開三B庚平 曉開三C之上
驚心	見開三B庚平 心開三侵平
驚怖	見開三B庚平 滂一模去
驚急	見開三B庚平 見開三B侵入
驚怪	見開三B庚平 見合二皆去
驚怯	見開三B庚平 溪開三C嚴入
驚悉	見開三B庚平 心開三真入
驚悚	見開三B庚平 心三鍾上
驚悟	見開三B庚平 疑一模去
驚悸	見開三B庚平 羣合三A脂去
驚惕	見開三B庚平 透開四青入
驚惶	見開三B庚平 匣合一唐平
驚愕	見開三B庚平 疑開一唐入
驚慄	見開三B庚平 來開三真入
驚慌	見開三B庚平 曉合一唐上
驚懼	見開三B庚平 羣合三C虞去
驚擾	見開三B庚平 日開三宵上
驚濤	見開三B庚平 定開一豪平
驚現	見開三B庚平 匣開四先去
驚異	見開三B庚平 以開三之去
驚疑	見開三B庚平 疑開三C之平
驚癇	見開三B庚平 匣開二山平
驚蟄	見開三B庚平 澄開三侵入
驚訝	見開三B庚平 疑開二麻去
驚詫	見開三B庚平 徹開二麻去
驚賞	見開三B庚平 書開三陽上
驚起	見開三B庚平 溪開三C之上
驚跳	見開三B庚平 定開四蕭平
驚逃	見開三B庚平 定開一豪平
驚遽	見開三B庚平 羣開三C魚去
驚險	見開三B庚平 曉開三B鹽上
驚雷	見開三B庚平 來合一灰平
驚顫	見開三B庚平 章開三仙去
驚飛	見開三B庚平 幫三C微平
驚馬	見開三B庚平 明二麻上
驚駭	見開三B庚平 匣開二皆上
驚鳥	見開三B庚平 端開四蕭上
驛城	以開三清入 常開三清平
驛站	以開三清入 知開二咸去
驛馬	以開三清入 明二麻上
驟死	崇三尤去 心開三脂上
驟然	崇三尤去 日開三仙平
驟變	崇三尤去 幫三B仙去
驢友	來開三魚平 云三C尤上
驢子	來開三魚平 精開三之上
驢騾	來開三魚平 來合一歌平
骨刻	見合一魂入 溪開一登入
骨力	見合一魂入 來開三蒸入
骨化	見合一魂入 曉合二麻去
骨器	見合一魂入 溪開三B脂去
骨子	見合一魂入 精開三之上
骨幹	見合一魂入 見開一寒去
骨感	見合一魂入 見開一覃上
骨朵	見合一魂入 端合一歌上
骨架	見合一魂入 見開二麻去
骨殖	見合一魂入 常開三蒸入
骨法	見合一魂入 幫三C凡入
骨灰	見合一魂入 曉合一灰平
骨炭	見合一魂入 透開一寒去
骨燼	見合一魂入 從開三真去
骨片	見合一魂入 滂四先去
骨瓷	見合一魂入 從開三脂平
骨病	見合一魂入 並三B庚去
骨瘤	見合一魂入 來三尤去
骨盆	見合一魂入 並一魂平
骨碌	見合一魂入 來一東入
骨科	見合一魂入 溪合一歌平
骨立	見合一魂入 來開三侵入
骨節	見合一魂入 精開四先入
骨粉	見合一魂入 幫三C文上
骨肉	見合一魂入 日三東入
骨董	見合一魂入 端一東上
骨血	見合一魂入 曉合四先入
骨頭	見合一魂入 定一侯平
骨骸	見合一魂入 匣開二皆平
骨骺	見合一魂入 匣一侯平
骨骼	見合一魂入 見開二庚入
骨髓	見合一魂入 心合三支上
骨鯁	見合一魂入 見開二庚上
骰塔	定一侯平 透開一談入
骰子	定一侯平 精開三之上
骰盅	定一侯平 澄三東平
骰鍾	定一侯平 章三鍾平
骶骨	端開四齊去 見合一魂入
骸骨	匣開二皆平 見合一魂入
髂骨	溪開二麻去 見合一魂入
髒亂	精開一唐上 來合一寒去
髒字	精開一唐上 從開三之去
髒水	精開一唐上 書合三脂上
髒煤	精開一唐上 明一灰平
髒病	精開一唐上 並三B庚去
髒話	精開一唐上 匣合二夬去
髒辮	精開一唐上 並四先上
髒髒	精開一唐上 精開一唐上
髓結	心合三支上 見開四先入
髓腦	心合三支上 泥開一豪上
體位	透開四齊上 云合三B脂去
體例	透開四齊上 來開三祭去
體側	透開四齊上 莊開三蒸入
體刑	透開四齊上 匣開四青平
體制	透開四齊上 章開三祭去
體力	透開四齊上 來開三蒸入
體勢	透開四齊上 書開三祭去
體味	透開四齊上 明三C微去
體團	透開四齊上 定合一寒平
體型	透開四齊上 匣開四青平
體壁	透開四齊上 幫四青入
體壇	透開四齊上 定開一寒平
體外	透開四齊上 疑合一泰去
體察	透開四齊上 初開二山入
體己	透開四齊上 見開三C之上
體式	透開四齊上 書開三蒸入
體弱	透開四齊上 日開三陽入
體形	透開四齊上 匣開四青平
體念	透開四齊上 泥開四添去
體性	透開四齊上 心開三清去
體恤	透開四齊上 心合三真入
體悟	透開四齊上 疑一模去
體惜	透開四齊上 心開三清入
體感	透開四齊上 見開一覃上
體態	透開四齊上 透開一咍去
體書	透開四齊上 書開三魚平
體模	透開四齊上 明一模平
體檢	透開四齊上 見開三B鹽上
體液	透開四齊上 以開三清入
體溫	透開四齊上 影合一魂平
體現	透開四齊上 匣開四先去
體癬	透開四齊上 心開三仙上
體系	透開四齊上 匣開四齊去
體統	透開四齊上 透一冬去
體罰	透開四齊上 並三C元入
體育	透開四齊上 以三東入
體腔	透開四齊上 溪二江平
體膚	透開四齊上 幫三C虞平
體臭	透開四齊上 昌三尤去
體表	透開四齊上 幫三B宵上
體諒	透開四齊上 來開三陽去
體貌	透開四齊上 明二肴去
體貼	透開四齊上 透開四添入
體面	透開四齊上 明三A仙去
體驗	透開四齊上 疑開三B鹽去
髕骨	並三A真上 見合一魂入
髖骨	溪合一寒平 見合一魂入
髮包	幫三C元入 幫二肴平
髮型	幫三C元入 匣開四青平
髮夾	幫三C元入 見開二咸入
髮小	幫三C元入 心開三宵上
髮尾	幫三C元入 明三C微上
髮屋	幫三C元入 影一東入
髮帶	幫三C元入 端開一泰去
髮廊	幫三C元入 來開一唐平
髮式	幫三C元入 書開三蒸入
髮梢	幫三C元入 生開二肴平
髮箍	幫三C元入 見一模平
髮絲	幫三C元入 心開三之平
髮網	幫三C元入 明三C陽上
髮綹	幫三C元入 來三尤上
髮腳	幫三C元入 見開三C陽入
髮菜	幫三C元入 清開一咍去
髮蠟	幫三C元入 來開一談入
髮辮	幫三C元入 並四先上
髮釵	幫三C元入 初開二佳平
髮髻	幫三C元入 見開四齊去
鬒髮	章開三真上 幫三C元入
鬚子	心合三虞平 精開三之上
鬚毛	心合三虞平 明一豪平
鬚眉	心合三虞平 明三B脂平
鬚髮	心合三虞平 幫三C元入
鬚鯨	心合三虞平 羣開三B庚平
鬢毛	幫三A真去 明一豪平
鬢腳	幫三A真去 見開三C陽入
鬢角	幫三A真去 見二江入
鬢髮	幫三A真去 幫三C元入
鬣毛	來開三鹽入 明一豪平
鬣狗	來開三鹽入 見一侯上
鬣蜥	來開三鹽入 心開四青入
鬥士	端一侯去 崇開三之上
鬥志	端一侯去 章開三之去
鬥拳	端一侯去 羣合三B仙平
鬥智	端一侯去 知開三支去
鬥毆	端一侯去 影一侯上
鬥爭	端一侯去 莊開二耕平
鬥牛	端一侯去 疑三C尤平
鬥眼	端一侯去 疑開二山上
鬥艦	端一侯去 匣開二銜上
鬥雞	端一侯去 見開四齊平
鬱南	影合三C文入 泥開一覃平
鬱悶	影合三C文入 明一魂去
鬱江	影合三C文入 見二江平
鬱結	影合三C文入 見開四先入
鬼叫	見合三C微上 見開四蕭去
鬼婆	見合三C微上 並一歌平
鬼子	見合三C微上 精開三之上
鬼屋	見合三C微上 影一東入
鬼怪	見合三C微上 見合二皆去
鬼樓	見合三C微上 來一侯平
鬼混	見合三C微上 匣合一魂上
鬼火	見合三C微上 曉合一歌上
鬼神	見合三C微上 船開三真平
鬼胎	見合三C微上 透開一咍平
鬼蜮	見合三C微上 云合三B蒸入
鬼話	見合三C微上 匣合二夬去
鬼魅	見合三C微上 明三B脂去
鬼魔	見合三C微上 明一歌平
鬼鴞	見合三C微上 云開三B宵平
魁偉	溪合一灰平 云合三C微上
魁元	溪合一灰平 疑合三C元平
魁星	溪合一灰平 心開四青平
魁梧	溪合一灰平 疑一模平
魁蚶	溪合一灰平 曉開一談平
魅力	明三B脂去 來開三蒸入
魅影	明三B脂去 影開三B庚上
魅惑	明三B脂去 匣合一登入
魍魎	明三C陽上 來開三陽上
魏國	疑合三C微去 見合一登入
魏巍	疑合三C微去 疑合三C微平
魏晉	疑合三C微去 精開三真去
魏書	疑合三C微去 書開三魚平
魏源	疑合三C微去 疑合三C元平
魏都	疑合三C微去 端一模平
魑魅	徹開三支平 明三B脂去
魔像	明一歌平 邪開三陽上
魔力	明一歌平 來開三蒸入
魔宮	明一歌平 見三C東平
魔幻	明一歌平 匣合二山去
魔影	明一歌平 影開三B庚上
魔怔	明一歌平 章開三清平
魔性	明一歌平 心開三清去
魔怪	明一歌平 見合二皆去
魔戒	明一歌平 見開二皆去
魔掌	明一歌平 章開三陽上
魔杖	明一歌平 澄開三陽上
魔棒	明一歌平 並二江上
魔法	明一歌平 幫三C凡入
魔爪	明一歌平 莊開二肴上
魔窟	明一歌平 溪合一魂入
魔術	明一歌平 船合三真入
魔都	明一歌平 端一模平
魔頭	明一歌平 定一侯平
魔鬼	明一歌平 見合三C微上
魚丸	疑開三C魚平 匣合一寒平
魚具	疑開三C魚平 羣合三C虞去
魚子	疑開三C魚平 精開三之上
魚尾	疑開三C魚平 明三C微上
魚排	疑開三C魚平 並二皆平
魚水	疑開三C魚平 書合三脂上
魚津	疑開三C魚平 精開三真平
魚片	疑開三C魚平 滂四先去
魚狗	疑開三C魚平 見一侯上
魚竿	疑開三C魚平 見開一寒平
魚粉	疑開三C魚平 幫三C文上
魚網	疑開三C魚平 明三C陽上
魚缸	疑開三C魚平 匣二江平
魚翅	疑開三C魚平 書開三支去
魚腩	疑開三C魚平 泥開一覃上
魚船	疑開三C魚平 船合三仙平
魚花	疑開三C魚平 曉合二麻平
魚苗	疑開三C魚平 明三B宵平
魚鉤	疑開三C魚平 見一侯平
魚雷	疑開三C魚平 來合一灰平
魚露	疑開三C魚平 來一模去
魚頭	疑開三C魚平 定一侯平
魚類	疑開三C魚平 來合三脂去
魚餅	疑開三C魚平 幫三A清上
魚餌	疑開三C魚平 日開三之去
魚香	疑開三C魚平 曉開三C陽平
魚骨	疑開三C魚平 見合一魂入
魚鰭	疑開三C魚平 羣開三A脂平
魚鰾	疑開三C魚平 並三A宵上
魚鱗	疑開三C魚平 來開三真平
魚鷹	疑開三C魚平 影開三C蒸平
魚龍	疑開三C魚平 來三鍾平
魯人	來一模上 日開三真平
魯史	來一模上 生開三之上
魯君	來一模上 見合三C文平
魯國	來一模上 見合一登入
魯山	來一模上 生開二山平
魯昂	來一模上 疑開一唐平
魯棒	來一模上 並二江上
魯爾	來一模上 日開三支上
魯班	來一模上 幫二刪平
魯甸	來一模上 定開四先去
魯肅	來一模上 心三東入
魯菜	來一模上 清開一咍去
魯迅	來一模上 心開三真去
魯鈍	來一模上 定合一魂去
鮑耶	並二肴上 以開三麻平
鮑魚	並二肴上 疑開三C魚平
鮪魚	云合三B脂上 疑開三C魚平
鮫人	見開二肴平 日開三真平
鮫魚	見開二肴平 疑開三C魚平
鯁直	見開二庚上 澄開三蒸入
鯉城	來開三之上 常開三清平
鯉魚	來開三之上 疑開三C魚平
鯊魚	生開二麻平 疑開三C魚平
鯔魚	莊開三之平 疑開三C魚平
鯕鰍	羣開三C之平 清三尤平
鯗魚	心開三陽上 疑開三C魚平
鯡魚	幫三C微去 疑開三C魚平
鯤鵬	見合一魂平 並一登平
鯧魚	昌開三陽平 疑開三C魚平
鯨波	羣開三B庚平 幫一歌平
鯨目	羣開三B庚平 明三C東入
